route_id,segment_index,from_stop_id,to_stop_id,distance_meters,duration_seconds
07c26a10-420f-4324-8f36-c91bc1630e9f,3,17b59b43-c876-4d9c-b1ef-1e14cafee8eb,f7266b0c-8075-4622-a26c-86f58382a258,282,46
07c26a10-420f-4324-8f36-c91bc1630e9f,4,5e91626f-13ea-4af1-a4de-f3e56109a7e0,11c1d4dd-7b51-4d61-b6b2-d591ff6ee592,164,19
07c26a10-420f-4324-8f36-c91bc1630e9f,5,5e91626f-13ea-4af1-a4de-f3e56109a7e0,a1e0a969-63dd-407e-b114-68aa4eaffaeb,173,19
07c26a10-420f-4324-8f36-c91bc1630e9f,6,5f0d5837-0646-4ca2-be83-1bf5b010ba8a,a1e0a969-63dd-407e-b114-68aa4eaffaeb,153,20
07c26a10-420f-4324-8f36-c91bc1630e9f,7,5f0d5837-0646-4ca2-be83-1bf5b010ba8a,e63b13e4-ab7f-4d83-bab7-1414c0f600c1,139,22
07c26a10-420f-4324-8f36-c91bc1630e9f,8,64aa846f-36fb-446d-99c4-cd33e19583de,f32c4dc4-4df2-457f-9b7a-240aa8a48667,200,36
07c26a10-420f-4324-8f36-c91bc1630e9f,9,6eb4b1a7-82ac-43ae-92ed-422f44b5a79c,82712690-72cb-4cad-ae6b-f2697bd8105f,250,94
07c26a10-420f-4324-8f36-c91bc1630e9f,10,82712690-72cb-4cad-ae6b-f2697bd8105f,ea8d68f1-43fe-4539-9b7b-91a5e173abe3,455,106
07c26a10-420f-4324-8f36-c91bc1630e9f,11,84e3df51-1618-4430-9723-e7a58b9532bf,da8b446b-4f2f-4789-913a-f8121c569fd1,265,28
07c26a10-420f-4324-8f36-c91bc1630e9f,12,8810fd5d-2658-4fb8-b54f-3746373393c0,17b59b43-c876-4d9c-b1ef-1e14cafee8eb,384,84
07c26a10-420f-4324-8f36-c91bc1630e9f,13,a1e0a969-63dd-407e-b114-68aa4eaffaeb,5e91626f-13ea-4af1-a4de-f3e56109a7e0,173,21
07c26a10-420f-4324-8f36-c91bc1630e9f,14,a1e0a969-63dd-407e-b114-68aa4eaffaeb,5f0d5837-0646-4ca2-be83-1bf5b010ba8a,153,17
07c26a10-420f-4324-8f36-c91bc1630e9f,15,b953e313-52af-41ea-97cc-4f6b3f37614b,84e3df51-1618-4430-9723-e7a58b9532bf,152,17
07c26a10-420f-4324-8f36-c91bc1630e9f,16,b953e313-52af-41ea-97cc-4f6b3f37614b,cc2eb61a-f787-484e-af8f-328d7920ba0d,237,37
07c26a10-420f-4324-8f36-c91bc1630e9f,17,cc2eb61a-f787-484e-af8f-328d7920ba0d,6eb4b1a7-82ac-43ae-92ed-422f44b5a79c,714,121
07c26a10-420f-4324-8f36-c91bc1630e9f,18,cc2eb61a-f787-484e-af8f-328d7920ba0d,b953e313-52af-41ea-97cc-4f6b3f37614b,237,24
07c26a10-420f-4324-8f36-c91bc1630e9f,19,cdffdfa9-0a56-4bd8-a3f6-a5d67d74c901,cc2eb61a-f787-484e-af8f-328d7920ba0d,1053,182
07c26a10-420f-4324-8f36-c91bc1630e9f,20,da8b446b-4f2f-4789-913a-f8121c569fd1,11c1d4dd-7b51-4d61-b6b2-d591ff6ee592,197,27
07c26a10-420f-4324-8f36-c91bc1630e9f,21,da8b446b-4f2f-4789-913a-f8121c569fd1,b953e313-52af-41ea-97cc-4f6b3f37614b,417,58
07c26a10-420f-4324-8f36-c91bc1630e9f,22,e63b13e4-ab7f-4d83-bab7-1414c0f600c1,f1d04a03-ab28-4ad3-bfe3-4af2b1ad0ca9,446,54
07c26a10-420f-4324-8f36-c91bc1630e9f,23,ea8d68f1-43fe-4539-9b7b-91a5e173abe3,cdffdfa9-0a56-4bd8-a3f6-a5d67d74c901,353,88
07c26a10-420f-4324-8f36-c91bc1630e9f,24,f32c4dc4-4df2-457f-9b7a-240aa8a48667,5f0d5837-0646-4ca2-be83-1bf5b010ba8a,146,18
07c26a10-420f-4324-8f36-c91bc1630e9f,25,f7266b0c-8075-4622-a26c-86f58382a258,076c69a1-d116-4350-991f-e18676b95b43,93,15
a9e22e1e-a366-4fe4-973c-871eb78e2349,0,162184f7-d4d4-46eb-bab5-16ef256060cd,f76699d8-bd84-4596-a9f5-5a6f99a5d38f,250,50
a9e22e1e-a366-4fe4-973c-871eb78e2349,1,18620fc7-8f85-423b-8010-4bde6091a916,54d9b966-7098-4216-9f75-cf0b71e64187,299,89
a9e22e1e-a366-4fe4-973c-871eb78e2349,2,1ba94b5e-7f96-4ac3-84f2-1439cc813020,c9fedac0-891d-4f79-8832-32f659037303,188,27
a9e22e1e-a366-4fe4-973c-871eb78e2349,3,293b115e-8312-4b6d-813d-3107e2bd5088,5b987b93-0691-41b9-9e87-36e406da9965,504,50
a9e22e1e-a366-4fe4-973c-871eb78e2349,4,2fa1a224-7310-4082-8854-02178ee7487e,4cfa4ecc-863c-4861-8ca5-5cc55c0d011a,703,151
a9e22e1e-a366-4fe4-973c-871eb78e2349,5,4c9afd4d-30e2-49bf-acd7-5c98b7574b31,776ba4cf-ab06-408e-ae6f-a3bb435333ae,250,37
a9e22e1e-a366-4fe4-973c-871eb78e2349,6,4cfa4ecc-863c-4861-8ca5-5cc55c0d011a,162184f7-d4d4-46eb-bab5-16ef256060cd,666,116
a9e22e1e-a366-4fe4-973c-871eb78e2349,7,54d9b966-7098-4216-9f75-cf0b71e64187,8eb1ce15-a910-46b3-abee-df5d610f4b4e,406,88
a9e22e1e-a366-4fe4-973c-871eb78e2349,8,5b987b93-0691-41b9-9e87-36e406da9965,93eecf71-8902-45bb-8574-cd88e9be46a5,107,17
a9e22e1e-a366-4fe4-973c-871eb78e2349,9,5d916409-34d7-4b2d-9c39-c6dfefc4a874,f400ac3c-6812-41c5-a8f5-2f55b07701aa,230,40
a9e22e1e-a366-4fe4-973c-871eb78e2349,10,5e3cdb73-d1a4-483d-a64b-3c46584afcfd,69ae51f5-167c-4830-82c1-6bd82b452f74,261,75
